Entity Name,Patterns,Response
,Questions: Explain access modifiers in Java.,"Access modifiers are predefined keywords in Java that are used to restrict the access of a class, method, constructor, and data member in another class.
Java supports four access modifiers:
Default
Private
Protected
Public
Modifier	Default	Private	Protected	Public
Same class	yes	yes	yes	yes
Same package subclass	yes	no	yes	yes
Same package non-subclass	yes	no	yes	yes
Different package subclass	no	no	yes	yes
Different package non-subclass	no	no	no	yes"
,What are the default values for local variables?,"The local variables are not initialized to any default value, neither primitives nor object references.

OOPS Java Interview Questions"
,What is Object-Oriented Programming? ,"OOPs is a programming paradigm centred around objects rather than functions. It is not a tool or a programming language it is a paradigm that was designed to overcome the flaws of procedural programming. There are many languages that follow OOPs concepts, some popular ones are Java, Python, Ruby and more. Some frameworks also follow OOPs concepts, Angular is one such framework."
,Could you explain the Oops concepts?,"Following are the various OOPS Concepts:
Abstraction– Representing essential features without the need to give out background details. The technique is used for creating a new suitable data type for some specific application
Aggregation– All objects have their separate lifecycle, but ownership is present. No child object can belong to some other object except for the parent object
Association– The relationship between two objects, where each object has its separate lifecycle. There is no ownership
Class– A group of similar entities
Composition– Also called the death relationship, it is a specialized form of aggregation. Child objects don't have a lifecycle. As such, they automatically get deleted if the associated parent object is deleted
Encapsulation– Refers to the wrapping up of data and code into a single entity. Allows the variables of a class to be only accessible by the parent class and no other classes
Inheritance– When an object acquires the properties of some other object, it is called inheritance. It results in the formation of a parent-child relationship amongst classes involved. Offers a robust and natural mechanism of organizing and structuring software
Object– Denotes an instance of a class. Any class can have multiple instances. An object contains the data as well as the method that will operate on the data
Polymorphism– refers to the ability of a method, object, or variable to assume several forms
 
Decision Making Java Interview Questions"
,Questions: Differentiate between break and continue,"Answer:
Break	Continue
Used with both loop and switch statement	Used with only loop statements.
It terminates the loop or switch block.	It does not terminate but skips to the next iteration.
Classes, Objects, and Methods Java Interview Questions"
,What is an Object?,An instance of a Java class is known as an object. Two important properties of a Java object are behaviour and state. An object is created as soon as the JVM comes across the new keyword.
,Define classes in Java ,"A class is a collection of objects of similar data types. Classes are user-defined data types and behave like built-in types of a programming language. 
Syntax of a class: 
class Sample{
member variables
methods() 
}
Example of Class:
public class Shape
   {
      String Shape name;
      void area()
        {
        }
      void volume ()
        {
        }
      void num_sides()
        {
        }
   }"
,Explain what are static methods and variables?,"A class has two sections one declares variables, and other declares method, and these are called instance variables and instance methods, respectively. They are termed so because every time a class is instantiated, a new copy of each of them is created. 
Variables and methods can be created that are common to all objects and accessed without using a particular object by declaring them static. Static members are also available to be used by other classes and methods. "
,What do you mean by Constructor?,"A constructor is a method that has the same name as that of the class to which it belongs. As soon as a new object is created, a constructor corresponding to the class gets invoked. Although the user can explicitly create a constructor, it is created on its own as soon as a class is created. This is known as the default constructor. Constructors can be overloaded.

Note: - If an explicitly-created constructor has a parameter, then it is necessary to create another constructor without a parameter."
,Please explain Local variables and Instance variables in Java.,"Variables that are only accessible to the method or code block in which they are declared are known as local variables. Instance variables, on the other hand, are accessible to all methods in a class. While local variables are declared inside a method or a code block, instance variables are declared inside a class but outside a method. Even when not assigned, instance variables have a value that can be null, 0, 0.0, or false. This isn't the case with local variables that need to be assigned a value, where failing to assign a value will yield an error. Local variables are automatically created when a method is called and destroyed as soon as the method exits. For creating instance variables, the new keyword must be used."
,Please explain Method Overriding in Java?,"Method Overriding in Java allows a subclass to offer a specific implementation of a method that has already been provided by its parent or superclass. Method overriding happens if the subclass method and the Superclass method have:
The same name
The same argument
The same return type"
,What do you mean by Overloading?,"Overloading is the phenomenon when two or more different methods (method overloading) or operators (operator overloading) have the same representation. For example, the + operator adds two integer values but concatenates two strings. Similarly, an overloaded function called Add can be used for two purposes
To add two integers
To concatenate two strings
Unlike method overriding, method overloading requires two overloaded methods to have the same name but different arguments. The overloaded functions may or may not have different return types."
,"What role does the final keyword play in Java? What impact does it have on a variable, method, and class?","The final keyword in Java is a non-access modifier that applies only to a class, method, or variable. It serves a different purpose based on the context where it is used.
With a class
When a class is declared as final, then it is disabled from being subclassed i.e., no class can extend the final class.
With a method
Any method accompanying the final keyword is restricted from being overridden by the subclass.
With a variable
A variable followed by the final keyword is not able to change the value that it holds during the program execution. So, it behaves like a constant.
Arrays, Strings and Vectors Java Interview Questions"
,Could you draw a comparison between Array and ArrayList?,"An array necessitates for giving the size during the time of declaration, while an array list doesn't necessarily require size as it changes size dynamically. To put an object into an array, there is the need to specify the index. However, no such requirement is in place for an array list. While an array list is parameterized, an array is not parameterized."
,"Please explain the difference between String, String Builder, and String Buffer.","String variables are stored in a constant string pool. With the change in the string reference, it becomes impossible to delete the old value. For example, if a string has stored a value ""Old,"" then adding the new value ""New"" will not delete the old value. It will still be there, however, in a dormant state. In a String Buffer, values are stored in a stack. With the change in the string reference, the new value replaces the older value. The String Buffer is synchronized (and therefore, thread-safe) and offers slower performance than the String Builder, which is also a String Buffer but is not synchronized. Hence, performance is fast in String Builder than the String Buffer."
,Questions: What is String Pool in Java?,"The collection of strings stored in the heap memory refers to the String pool. Whenever a new object is created, it is checked if it is already present in the String pool or not. If it is already present, then the same reference is returned to the variable else new object is created in the String pool, and the respective reference is returned.
 
Advanced Java Interview Questions
Interfaces and Abstract Classes Java Interview Questions"
,What do you know about Interface in Java?,"A Java interface is a template that has only method declarations and not method implementations. It is a workaround for achieving multiple inheritances in Java. Some worth remembering important points regarding Java interfaces are:
A class that implements the interface must provide an implementation for all methods declared in the interface
All methods in an interface are internally public abstract void
All variables in an interface are internally public static final
Classes do not extend but implement interfaces"
,How is an Abstract class different from an Interface?,"There are several differences between an Abstract class and an Interface in Java, summed up as follows:
Constituents – An abstract class contains instance variables, whereas an interface can contain only constants.
Constructor and Instantiation – While an interface has neither a constructor nor it can be instantiated, an abstract class can have a default constructor that is called whenever the concrete subclass is instantiated.
Implementation of Methods – All classes that implement the interface need to provide an implementation for all the methods contained by it. A class that extends the abstract class, however, doesn't require implementing all the methods contained in it. Only abstract methods need to be implemented in the concrete subclass.
Type of Methods – Any abstract class has both abstract as well as non-abstract methods. Interface, on the other hand, has only a single abstract method."
,Please explain what do you mean by an Abstract class and an Abstract method?,"An abstract class in Java is a class that can't be instantiated. Such a class is typically used for providing a base for subclasses to extend as well as implementing the abstract methods and overriding or using the implemented methods defined in the abstract class. To create an abstract class, it needs to be followed by the abstract keyword. Any abstract class can have both abstract as well as non-abstract methods. A method in Java that only has the declaration and not implementation is known as an abstract method. Also, an abstract method name is followed by the abstract keyword. Any concrete subclass that extends the abstract class must provide an implementation for abstract methods."
,"Questions: What is multiple inheritance? Does Java support multiple inheritance? If not, how can it be achieved?","If a subclass or child class has two parent classes, that means it inherits the properties from two base classes, it is multiple inheritances. Java does not multiple inheritances as in case if the parent classes have the same method names, then at runtime, it becomes ambiguous, and the compiler is unable to decide which method to execute from the child class.
Packages Java Interview Questions"
,What are the packages in Java? State some advantages of Packages in Java?,"Packages are Java's way of grouping a variety of classes and/or interfaces together. The functionality of the objects decides how they are grouped. Packagers act as ""containers"" to classes.
Enlisted below are the advantages of Packages:
Classes of other programs can be reused.
Two classes with the same can exist in two different packages.
Packages can hide classes, thus denying access to certain programs and classes meant for internal use only.
They also separate design from coding.
Multithreading Java Interview Questions"
,How do you make a thread in Java? Give examples.,"To make a thread in Java, there are two options:
Extend the Thread Class – The thread is available in the java.lang.Thread class. To make a thread, you need to extend a thread class and override the run method. For example,
public class Addition extends Thread {
public void run() {
}
}
A disadvantage of using the thread class is that it becomes impossible to extend any other classes.
Nonetheless, it is possible to overload the run() method in the class

Implement Runnable Interface – Another way of making a thread in Java is by implementing a runnable interface. For doing so, there is the need to provide the implementation for the run() method that is defined in the
interface. For example,
public class Addition implements Runnable {
public void run() {
}
}"
,Why do we use the yield() method?,"The yield() method belongs to the thread class. It transfers the currently running thread to a runnable state and also allows the other threads to execute. In other words, it gives equal priority threads a chance to run. Because yield() is a static method, it does not release any lock."
,Can you explain the thread lifecycle in Java?,"The thread lifecycle has the following states and follows the following order:
New – In the very first state of the thread lifecycle, the thread instance is created, and the start() method is yet to be invoked. The thread is considered alive now.
Runnable – After invoking the start() method, but before invoking the run() method, a thread is in the runnable state. A thread can also return to the runnable state from waiting or sleeping state.
Running – The thread enters the running state after the run() method is invoked. This is when the thread begins execution.
Non-Runnable – Although the thread is alive, it is not able to run. Typically, it returns to the runnable state after some time.
Terminated – The thread enters the terminated state once the run() method completes its execution. It is not alive now."
,When is the Runnable interface preferred over thread class and vice-versa?,"In Java, it is possible to extend only one class. Hence, the thread class is only extended when no other class needs to be extended. If it is required for a class to extend some other class than the thread class, then we need to use the Runnable interface."
,Please draw a comparison between notify() and notifyAll() methods.,"The notify() method is used for sending a signal to wake up a single thread in the waiting pool. Contrarily, the notifyAll() method is used for sending a signal to wake up all threads in a waiting pool."
,How will you distinguish processes from threads?,"There are several fundamental differences between a process and a thread, stated as follows:
Definition – A process is an executing instance of a program whereas, a thread is a subset of a process.
Changes – A change made to the parent process doesn't affect child processes. However, a change in the main thread can yield changes in the behavior of other threads of the same process.
Communication – While processes require inter-process communication for communicating with sibling processes, threads can directly communicate with other threads belonging to the same process.
Control – Processes are controlled by the operating system and can control only child processes. On the contrary, threads are controlled by the programmer and are capable of exercising control over threads of the same process to which they belong.
Dependence – Processes are independent entities while threads are dependent entities
Memory – Threads run in shared memory spaces, but processes run in separate memory spaces."
,What is the join() method? Give an example.,"We use the join() method for joining one thread with the end of the currently running thread. It is a non-static method and has an overloaded version. Consider the example below:
public static void main (String[] args) {
Thread t = new Thread();
t.start();
t.join();
}
The main thread starts execution in the example mentioned above. As soon as the execution reaches the code t.start(), then the thread t starts its stack for execution. The JVM switches between the main thread and the thread there. Once the execution reaches the t.join(), then the thread t alone is executed and allowed to complete its task. Afterward, the main thread resumes execution."
,How do you make a thread stop in Java?,"There are three methods in Java to stop the execution of a thread:
Blocking – This method is used to put the thread in a blocked state. The execution resumes as soon as the condition of the blocking is met. For instance, the ServerSocket.accept() is a blocking method that listens for incoming socket connection and resumes the blocked thread only when a connection is made.
Sleeping – This method is used for delaying the execution of the thread for some time. A thread upon which the sleep() method is used is said to enter the sleep state. It enters the runnable state as soon as it wakes up i.e., the sleep state is finished. The time for which the thread needs to enter the sleep state is mentioned inside the braces of the sleep() method. It is a static method.
Waiting – Although it can be called on any Java object, the wait() method can only be called from a synchronized block.
Exception Handling Java Interview Questions"
,"Could you explain various types of Exceptions in Java? Also, tell us about the different ways of handling them.","Java has provision for two types of exceptions:
Checked Exceptions – Classes that extend Throwable class, except Runtime exception and Error, are called checked exceptions. Such exceptions are checked by the compiler during the compile time. These types of exceptions must either have appropriate try/catch blocks or be declared using the throws keyword. ClassNotFoundException is a checked exception.
Unchecked Exceptions – Such exceptions aren't checked by the compiler during the compile time. As such, the compiler doesn't necessitate handling unchecked exceptions. Arithmetic Exception and ArrayIndexOutOfBounds Exception are unchecked exceptions.
Exceptions in Java are handled in two ways:
Declaring the throws keyword – We can declare the exception using throws keyword at the end of the method. For example:
class ExceptionCheck{
public static void main(String[] args){
add();
}
public void add() throws Exception{
addition();
}
}
Using try/catch – Any code segment that is expected to yield an exception is surrounded by the try block. Upon the occurrence of the exception, it is caught by the catch block that follows the try block. For example,
class ExceptionCheck{
public static void main (String[] args) {
add();
}
public void add(){
try{
addition();
}
catch(Exception e)
{
e.printStacktrace();
}
}
}"
,Could you draw the Java Exception Hierarchy?,Answer:  
,Is it possible to write multiple catch blocks under a single try block?,"Yes, it is possible to write several catch blocks under a single try block. However, the approach needs to be from specific to general. Following example demonstrates the same:
public class Example {
public static void main(String args[]) {
try {
int a[]= new int[10];
a[10]= 10/0;
}
catch(ArithmeticException e)
{
System.out.println(""Arithmetic exception in first catch block"");
}
catch(ArrayIndexOutOfBoundsException e)
{
System.out.println(""Array index out of bounds in second catch block"");
}
catch(Exception e)
{
System.out.println(""Any exception in third catch block"");
}
}"
,How does the throw keyword differ from the throws keyword?,"While the throws keyword allows declaring an exception, the throw keyword is used to explicitly throw an exception. Checked exceptions can't be propagated with throw only, but throws allow doing so without the need for anything else. The throws keyword is followed by a class, whereas the throw keyword is followed by an instance. The throw keyword is used within the method, but the throws keyword is used with the method signature. Furthermore, it is not possible to throw multiple exceptions, but it is possible to declare multiple exceptions."
,Explain various exceptions handling keywords in Java?,"Answer:
There is two crucial exception handling keywords in Java, followed by the third keyword final, which may or may not be used after handling exceptions.
try:
If and when a code segment has chances of having and abnormality or an error, it is placed within a try block. When the exception is raised, it is handled and caught by the catch block.
Try block must have a catch() or a final() or both blocks after it.
catch:
When an exception is raised in the try block, it is handled in the catch block.
final:
This block is executed regardless of the exception. It can be placed either after try{} or catch {} block."
,Explain exception propagation?,"The method at the top of the stack throws an exception if it is not caught. It moves to the next method and goes on like this until caught.
Example:
public class Sum()
{
public static void main(String args[])
{
addition()
}
public void addition()
{
add();
}
}
The stack of the above code is:
add()
addition()
main()
If an exception occurred in the add() method is not caught, then it moves to the method addition(). It is then moved to the main() method, where the flow of execution stops. It is called Exception Propagation.
File Handling Java Interview Questions"
,Does an empty file name with .java extension a valid file name?,"Yes, Java permits to save our java file by .java only. It is compiled by javac .java and run by java class name.
Let's take a simple example:
public class Any()
{
public static void main(String args[])
{
System.out.println(""Hello Java File here!"");
}
}
To compile: javac.java
To run: Java Any
Collections Java Interview Questions"
,What do you mean by Collections in Java? What are the constituents of Collections in Java?,"A group of objects in Java is known as collections. Java.util package contains, along with date and time facilities, internationalization, legacy collection classes, etc., the various classes and interfaces for collecting. Alternatively, collections can be considered as a framework designed for storing the objects and manipulating the design in which the objects are stored. You can use collections to perform the following operations on objects:
Deletion
Insertion
Manipulation
Searching
Sorting
Following are the various constituents of the collections framework:
Classes – Array List, Linked List, Lists, and Vector
Interfaces – Collection, List, Map, Queue, Set, Sorted Map, and Sorted Set
Maps – HashMap, HashTable, LinkedHashMap, and TreeMap
Queues – Priority Queue
Sets – Hash Set, Linked Hash Set, and Tree Set"
,How will you differentiate HashMap from HashTable?,"HashMap in Java is a Map-based collection class, used for storing key & value pairs. It is denoted as HashMap<Key, Value> or HashMap<K, V> HashTable is an array of a list, where each list is called a bucket. Values contained in a HashTable are unique and depend on the key. Methods are not synchronized in HashMap, while key methods are synchronized in HashTable. However, HashMap doesn't have thread safety, while HashTable has the same. For iterating values, HashMap uses iterator and HashTable uses enumerator. HashTable doesn't allow anything that is null, while HashMap allows one null key and several null values. In terms of performance, HashTable is slow. Comparatively, HashMap is faster."
,Please explain Map and their types in Java.,"A Java Map is an object that maps keys to values. It can't contain duplicate keys, and each key can map to only one value. In order to determine whether two keys are the same or distinct, Map makes use of the equals() method. There are 4 types of Map in Java, described as follows:
HashMap - It is an unordered and unsorted map and hence, is a good choice when there is no emphasis on the order. A HashMap allows one null key and multiple null values and doesn't maintain any insertion order.
HashTable – Doesn't allow anything null and has methods that are synchronized. As it allows for thread safety, the performance is slow.
LinkedHashMap – Slower than a HashMap but maintains insertion order and has a faster iteration.
TreeMap – A sorted Map providing support for constructing a sort order using a constructor."
,What do you mean by Priority Queue in Java?,"Priority queue, like a regular queue, is an abstract data type except having a priority associated with each element contained by it. The element with the high priority is served before the element with low priority in a priority queue. Elements in a priority queue are ordered either according to the comparator or naturally. The order of the elements in a priority queue represents their relative priority."
,"What is Set in Java? Also, explain its types in a Java Collections.","In Java, a Set is a collection of unique objects. It uses the equals() method to determine whether two objects are the same or not. Various types of Set in Java Collections are:
Hash Set– An unordered and unsorted set that uses the hash code of the object for adding values. Used when the order of the collection isn't important
Linked Hash Set– This is an ordered version of the hash set that maintains a doubly-linked list of all the elements. Used when iteration order is mandatory. Insertion order is the same as that of how elements are added to the Set.
Tree Set– One of the two sorted collections in Java, it uses Read-Black tree structure and ensures that the elements are present in the ascending order."
,What is ordered and sorted concerning collections?,"Answer:
Ordered
It means that values are stored in a collection in a specific order, but the order is independent of the value. Eg. List
Sorted
It means the collection has an order which is dependent on the value of an element.
Eg. SortedSet
Miscellaneous Java Interview Questions "
,Please explain the various types of garbage collectors in Java?,"The Java programming language has four types of garbage collectors:
Serial Garbage Collector– Using only a single thread for garbage collection, the serial garbage collector works by holding all the application threads. It is designed especially for single-threaded environments. Because serial garbage collector freezes all application threads while performing garbage collection, it is most suitable for command-line programs only. For using the serial garbage collector, one needs to turn on the -XX:+UseSerialGC JVM argument.
Parallel Garbage Collector – Also known as the throughput collector, the parallel garbage collector is the default garbage collector of the JVM. It uses multiple threads for garbage collection, and like a serial garbage collector freezes all application threads during garbage collection.
CMS Garbage Collector– Short for Concurrent Mark Sweep, CMS garbage collector uses multiple threads for scanning the heap memory for marking instances for eviction, followed by sweeping the marked instances. There are only two scenarios when the CMS garbage collector holds all the application threads:
When marking the referenced objects in the tenured generation space
If there is some change in the heap memory while performing the garbage collection, CMS garbage collector ensures better application throughput over parallel garbage collectors by using more CPU. For using the CMS garbage collector, the XX:+USeParNewGC JVM argument needs to be turned on.
G1 Garbage Collector – Used for large heap memory areas, G1 garbage collector works by separating the heap memory into multiple regions and then executing garbage collection in them in parallel. Unlike the CMS garbage collector that compacts the memory on STW (Stop The World) situations, G1 garbage collector compacts the free heap space right after reclaiming the memory. Also, the G1 garbage collector prioritizes the region with the most garbage. Turning on the –XX:+UseG1GC JVM argument is required for using the G1 garbage collector."
,What do you understand by Synchronization in Java? What is its most significant disadvantage?,"If several threads try to access a single block of code, then there is an increased chance of producing inaccurate results. Synchronization is used to prevent this. Using the synchronization keyword makes a thread need a key to access the synchronized code. Simply, synchronization allows only one thread to access a block of code at a time. Each Java object has a lock, and every lock has only one key. A thread can access a synchronized method only if it can get the key to the lock of the object. Following example demonstrates synchronization:
public class ExampleThread implements Runnable {
public static void main (String[] args){
Thread t = new Thread();
t.start();
}
public void run(){
synchronized(object){
{
}
}
Note: It is recommended to avoid implementing synchronization for all methods. This is because when only one thread can access the synchronized code, the next thread needs to wait. Consequently, it results in slower performance of the program."
,"Can you tell the difference between execute(), executeQuery(), and executeUpdate()?","Answer:
execute() – Used for executing an SQL query. It returns TRUE if the result is a ResultSet, like running Select queries, and FALSE if the result is not a ResultSet, such as running an Insert or an Update query.
executeQuery() – Used for executing Select queries. It returns the ResultSet, which is not null, even if no records are matching the query. The executeQuery() method must be used when executing select queries so that it throws the java.sql.SQLException with the 'executeQuery method cannot be used for update' message when someone tries to execute an Insert or Update statement.
executeUpdate() – Used for executing Delete/Insert/Update statement or DDL statements that returns nothing. The output varies depending on whether the statements are Data Manipulation Language (DML) statements or Data Definition Language (DDL) statements. The output is an integer and equals the total row count for the former case, and 0 for the latter case.
Note: The execute() method needs to be used only in a scenario when there is no certainty about the type of statement. In all other cases, either use executeQuery() or executeUpdate() method."
,Provide an example of Hibernate architecture:,Answer:
,Could you demonstrate how to delete a cookie in JSP with a code example?,"Following code demonstrates deleting a cookie in JSP:
Cookie mycook = new Cookie(""name1"",""value1"");
response.addCookie(mycook1);
Cookie killmycook = new Cookie(""mycook1"",""value1"");
killmycook . set MaxAge ( 0 );
killmycook . set Path (""/"");
killmycook . addCookie ( killmycook 1 );"
,"Write suitable code examples to demonstrate the use of final, final, and finalize.","Final:  The final keyword is used for restricting a class, method, and variable. A final class can't be inherited, a final method is disabled from overriding, and a final variable becomes a constant i.e., its value can't be changed.
class FinalVarExample {
public static void main( String args[])
{
final int a=10;
a=50; /* Will result in an error as the value can’t be changed now*/
}
Finally: Any code inside the final block will be executed, irrespective of whether an exception is handled or not.
class FinallyExample {
public static void main(String args[]){
try {
int x=100;
}
catch(Exception e) {
System.out.println(e);
}
finally {
System.out.println(""finally block is executing"");}
}
}
}
Finalize: The finalize method performs the clean up just before the object is garbage collected.
class FinalizeExample {
public void finalize() {
System.out.println(""Finalize is called"");
}
public static void main(String args[])
{
FinalizeExample f1=new FinalizeExample();
FinalizeExample f2=new FinalizeExample();
f1= NULL;
f2=NULL;
System.gc();
}
}"
,What purpose do the Volatile variable serve in Java?,The value stored in a volatile variable is not read from the thread's cache memory but from the main memory. Volatile variables are primarily used during synchronization.
,Please compare Serialization with Deserialization in Java.,Serialization is the process by which Java objects are converted into the byte stream. Deserialization is the exact opposite process of serialization where Java objects are retrieved from the byte stream. A Java object is serialized by writing it to an ObjectOutputStream and deserialized by reading it from an ObjectInputStream.
,What do you understand by OutOfMemoryError in Java?,"Typically, the OutOfMemoryError exception is thrown when the JVM is not able to allocate an object due to running out of memory. In such a situation, no memory could be reclaimed by the garbage collector. There can be several reasons that result in the OutOfMemoryError exception, out of which most notable ones are:
Holding objects for too long
Trying to process too much data at the same time
Using a third-party library that caches strings
Using an application server that doesn't perform a memory cleanup post the deployment
When a native allocation can't be satisfied
That completes the list of top Java interview questions. What do you think about the list we compiled? Let us know by dropping your comments in the dedicated window below. Also, check out these best Java tutorials to further refine your Java skill set."
,Explain public static void main(String args[ ]) in Java,"The execution Java program starts with public static void main(String args[ ]), also called the main() method.
public: It is an access modifier defining the accessibility of the class or method. Any Class can access the main() method defined public in the program.
static: The keyword indicates the variable, or the method is a class method. The method main() is made static so that it can be accessed without creating the instance of the class. When the method main() is not made static, the compiler throws an error because the main() is called by the JVM before any objects are made, and only static methods can be directly invoked via the class.
void: It is the return type of the method. Void defines the method does not return any type of value.
main: JVM searches this method when starting the execution of any program, with the particular signature only.
String args[]: The parameter passed to the main method."
,What are wrapper classes in Java?,"Wrapper classes are responsible for converting the Java primitives into the reference types (objects). A class is dedicated to every primitive data type. They are known as wrapper classes because they wrap the primitive data type into an object of that class. It is present in Java.lang package. The table below displays the different primitive types, wrapper class.
Simple Type	Wrapper Class
boolean	Boolean
char	Character
double	Double
float	Float
int	Integer
long	Long"
,"Explain the concept of boxing, unboxing, autoboxing, and auto unboxing.","Answer:
Boxing: The concept of putting a primitive value inside an object is called boxing.
Unboxing: Getting the primitive value from the object.
Autoboxing: Assigning a value directly to an integer object.
Auto unboxing: Getting the primitive value directly into the integer object.
public class BoxUnbox
{
public static void main(String args[])
{
int i = 5;
Integer ii = new Integer(i);            /*Boxing*/
Integer jj = i; /*Unboxing*/
int j = jj.intValue();      /*Unboxing*/
int k = jj; /*AutoUnboxing*/
}
}"
,Define the Singleton class in Java. How can a class be made Singleton?,"A Singleton class allows only one instance of the class to be created.
A class can be made singleton with the following steps:
Creating a static instance of the class with the class.
By not allowing the user to create an instance with default constructor by defining private constructor.
Create a static method to return the object of an instance of A.
public class Singleton
{
public static void main(String args[])
{
Single obj1 = Single.getInstance();  /* both would point to one and same instance of the class */
Single obj2 = Single.getInstance();
}
}
class Single
{
static Single obj = new Single(); /* step a*/
private Single() /* step b*/
{
}
public static Single getInstance()
{
return obj; /* step c*/
}
}"
,"What if the public static void is replaced by static public void, will the program still run?","Yes, the program would compile and run without any errors as the order of the specifiers don't matter."
,Differentiate between == and equals() ?,"Answer:
Equals()	==
It is a method of String class	It is an operator.
Content comparison	Address comparison

class Operator {
public static void main(String[] args)
{
/* integer-type*/
System.out.println(10 == 20);
/* char-type*/
System.out.println('a' == 'b');
/* char and double type*/
System.out.println('a' == 97.0);
/* boolean type*/
System.out.println(true == true);
}
}
	
public class Equals{
public static void main(String[] args)
{
String s1 = new String(""HELLO"");
String s2 = new String(""HELLO"");
System.out.println(s1 == s2);
System.out.println(s1.equals(s2));
}
}"
,Why don't we use pointers in Java?,"Pointers are considered to be unsafe, and increase the complexity of the program, add
ing the concept of pointers can be contradicting. Also, JVM is responsible for implicit memory allocation; thus, to avoid direct access to memory by the user, pointers are discouraged in Java."
,Questions: Differentiate between this() and super(),
,Answer:,"this()	super()
Represents the current instance of the class.	Represents the current instance of the parent/base class.
It is used to call the default constructor of the same class	It is used to call the default constructor of the parent/base class.
Accesses method of the current class	Accesses method of the base class
Points current class instance	Points to the superclass instance.
Must be the first line of the block	It must be the first line of the block.
Java Coding Interview Questions 
Apart from having good knowledge about concepts of Java programming, you are also tested for your skills in coding in Java programming language. Given below are Java Coding Interview Questions that are relevant for freshers and are quite popular amongst Java programming interviews."
,Take a look at the two code snippets below:,"i.
class Adder {
Static int add(int a, int b)
{
return a+b;
}
Static double add( double a, double b)
{
return a+b;
}
public static void main(String args[])
{
System.out.println(Adder.add(11,11));
System.out.println(Adder.add(12.3,12.6));
}}
ii.
class Car {
void run(){
System.out.println(“car is running”);
}
Class Audi extends Car{
void run()
{
System.out.prinltn(“Audi is running safely with 100km”);
}
public static void main( String args[])
{
Car b=new Audi();
b.run();
}
}"
,What is the important difference between the two?,Code snippet i. is an example of method overloading while the code snippet ii. demonstrates method overriding.
