Entity Name,Patterns,Response
,What is the purpose of ExpressJS package in Node.js?,"ExpressJS package or framework is built on top of Node.js to fast-track the development of single-page, multi-page and hybrid server-based applications. Express is said to be the backend part of the MEAN stack.
Question: Highlight the differences between process.nextTick() and setImmediate().
Answer: 
let execseq = function() {  
 setImmediate(() => console.log(""immediate""));  
 process.nextTick(() => console.log(""nextTick""));  
 console.log(""event loop"");
}
This will execute the ""event loop"", then ""nextTick"" and then ""immediate""."
,Explain the difference between Node.js vs Ajax?,"Ajax is a client-side technology and is used for updating page content without refreshing the same. Node.js is a server-side JavaScript that is used to develop server software. Further, Node.js is a full-fledged development environment, whereas Ajax is used just to obtain data or run scripts."
,Give the reason why Express' app' and 'server' must be kept separate.,"If we keep the app and server functionalities separate, the code can be divided into multiple modules, thereby reducing the dependency between modules. Each module will perform a single task. Also, due to the separation of logic, we can avoid duplicate code."
,Explain the Difference between setImmediate() vs setTimeout().,"While the word immediate is slightly misleading, the callback happens only after the I/O events callbacks, when we call setImmediate(). setTimeout() is used to set a delay (in milliseconds) for execution of a one-time callback. If we execute, 
setImmediate(function() {
  console.log('setImmediate')
})
setTimeout(function() {
  console.log('setTimeout')
}, 0)
We will get the output as 'setTimeOut' and then 'setImmediate'."
,List Out and explain the popular modules of Node.js?,"The core modules of Node.js are:
http	includes classes, methods and events for creating Node.js http server.
URL	contains methods for URL resolution and parsing.
querystring	deals with query string.
path	contains methods for working with file paths.
fs	consists of classes, methods, and events for handling file I/O.
util	util module includes utility functions useful for developers.
 "
,Add an example of Streams in Node.js?,"Example of reading from stream:
var readStream = fs.createReadStream('data.txt');
readStream.on('data', function(chunk) {
   data += chunk;
});
Example of writing into stream:
var writeStream = fs.createWriteStream('dataout.txt');
writeStream.write(data,'UTF8');
writeStream.end();"
,What is crypto in Node.js? How is it used?,"The crypto module in Node.js is used for cryptography, i.e. includes a set of wrappers for open SSL's hash, HMAC, sign, decipher, cipher and verify functions.
Here is an example of using cipher for encryption:
const crypto = require('crypto');  
const cipher = crypto.createCipher('usrnm', 'pwdd');  
var encryptd = cipher.update('Welcome to hackr', 'utf8', 'hex');  
encryptd += cipher.final('hex');  
console.log(encryptd);   
Let’s use decipher to decrypt the above to see if we get the same text back:
const crypto = require('crypto');  
const decipher = crypto.createDecipher('usrnm', 'pwdd');  
var encryptd = '<enter the previous output-encrypted code here>';  
var decryptd = decipher.update(encryptd, 'hex', 'utf8');  
decryptd += decipher.final('utf8');  
console.log(decryptd);  "
,Explain the use of the DNS module in Node.js?,"The DNS module is used for resolving a name. It is provided by the operating system and is used for the actual DNS lookup too. With this module, it is not required to memorize the IP addresses as the DNS servers convert domain/subdomain into IP addresses."
,Explain the security mechanism of Node.js?,"Some mechanisms are:

Authorization codes: We can use authorization codes to secure Node.js. That way, any third party that wants to access Node.js goes through the GET request of the resource provider's network. 
Certified Modules: Certification modules are like filters that scan the libraries of Node.js to identify if any third-party code is present or not. Any hacking can be detected using certifications. 
Curated Screening register: This is a quality control system where all the packages (code and software) are checked to ensure their safety. This scan helps to eliminate unverified or unreliable libraries getting into your application.
Regular updates: Downloading the newest version of Node.js will prevent potential hackers and attacks. "
,Explain various types of API functions in Node.js.,"The two types of API functions in Node.js are:
Asynchronous/Non-blocking: These requests do not wait for the server to respond. They continue to process the next request, and once the response is received, they receive the same.
Synchronous/Blocking: These are requests that block any other requests. Once the request is completed, only then the next one is taken up.
Question: What are LTS versions of Node.js?
Answer: Long Term Support or LTS version/releases of Node.js are the releases which receive all the critical fixes, performance step ups and security updates. These versions receive support for at least 1.5 years and have a focus on security and stability of the application.
Question: Explain the working of assert in Node.js
Answer: Assert is used to write tests in Node.js. The feedback is provided only if any of the test cases that are running fails. To test invariants, the module gives you a set of assertion tests. It is used internally by Node.js, but if you use require (‘assert’) code, you will be able to use it in other applications as well.
Question: What is callback hell?
Answer: In Node.js, callback hell is also known as the Pyramid of Doom. Caused by intensively nested, unreadable and unmanageable callbacks, making the code harder to read and debug. It is caused due to improper execution of the asynchronous logic.
Question: What is stub in Node.js?
Answer: Stubs are programs or functions used to stimulate component behavior. Stubs provide the answers to the functions during test cases.
Question: What is Event Loop?
Answer: All the asynchronous callbacks are handled by an event loop in Node.js. It is the foundation of the non-blocking input/output in Node.js, making it one of the most vital features of the environment. Due to the nature of Node.js being event-driven, a listener can be attached to an event for the callback to be executed by the former when the event occurs. Node.js executes the event loop and then moves on to the rest of the code, without having to wait for the output. Once the whole operation culminates, it receives the output and the callback function is executed. Once it receives the response, the functions are executed one by one.
Question: What is stream in Node.js? What are its types?
Answer: In Node.js, streams are the collection of data similar to strings and arrays. Moreover, streams are objects through which you can read source data or write destination data continuously. These streams are particularly helpful for reading and processing large amounts of information. There are four types of streams in Node.js, which are:
Readable: Used to read large amount of data from source
Writeable: Used to write data to destination
Duplex: Used for both read and write
Transform: A duplex stream used for data modification
Question: List and explain the timing features of Node.js.
Answer: A timer module containing multiple functions for the execution of the code after a specific time period is provided by Node.js. Some of the functions provided in this module are:
process.nextTick: This function schedules a callback function which is required to be invoked in the next iteration of the event loop
setTimeout/clearTimeout: This function schedules code execution after the assigned amount of time (in milliseconds)
setImmediate/clearImmediate: This functions executes code at the conclusion of the existing event loop cycle
setInterval/clearInterval: This function is used to execute a block of code a number of times
Question: Highlight the differences between process.nextTick() and setImmediate().
Answer: Both process.nextTick() and setImmediate() are functions of the Timers module, but the difference lies in their execution.
The process.nextTick() function waits for the execution of action till the next pass around in the event loop or when the event loop culminates, then only the callback function is invoked.
The setImmediate() function is used for callback method execution on the next cycle of the event loop, which returns it to the event loop for the execution of the input/output operations.
Question: Explain readFile and createReadStream in Node.js.
Answer: Both readFile and createReadStream are ways to read and execute files provided by the Node.js.
The readFile process is fully buffered which returns response(s) only if the complete file is entered into the buffer and can be read. This process is highly memory intensive and can become slow in case the file size is large.

The createReadStream process is partially buffered, treating the entire process as a series of events. In this process, the whole files are split into chunks that are processed and then sent as a response individually in succession. Unlike readFile, createReadStream is effective when it comes to reading and processing large files.
Question: Does Node.js provide a Debugger?
Answer: A built-in TCP protocol and the debugging client is provided by Node.js. If you wish to debug your file, you can use the following argument before the name of your JS file which you wish to debug.
node debug [script.js | -e “script” | :]

Question: Describe the exit codes in Node.js.
Answer: Exit codes in Node.js are a specific group of codes that finish off processes, which can include global objects as well. Some of the exit codes in Node.js are:
Internal JavaScript Evaluation Failure
Fatal Error
Internal Exception handler Run-time failure
Unused
Uncaught fatal exception
Question: Why is NODE_ENV used?
Answer: When any Node.js project is in the stage of production, Node.js promotes the principle to use NODE_ENV variable to flag it. When the NODE-ENV is set to production, your application will perform at a speed 2 to 3 times faster than usual. The variable also improves judgment during the development phase of projects.
Question: What is Event Emitter in Node.js?
Answer: Node.js has an EventEmitter class which holds all the objects which can emit events. These objects hold a function called eventEmitter.on() using which multiple functions can be attached to the event emitted by the object. Whenever an object from the EventEmitter class throws an event, all the attached functions to the vent are called upon synchronously.
Question: What is Punycode?
Answer: Punycode can be defined as an encoding syntax in Node.js which is helpful for converting the Unicode string of characters into ASCII. This is done as the hostnames can only comprehend ASCII codes and not Unicode. While it was bundled up within the default package in recent versions, you can use it in the previous version using the following code:
punycode = require(‘punycode’);

Question: Explain the concept of JIT and highlight its relation with Node.js.
Answer: A JIT or Just-in-time compiler sends bytecode (consisting of interpretable instructions) to the processor by converting it into instruction. Once you are finished with the writing part of a program, the source language statements are compiled into bytecode by the compiler, rather than the code that carries the data which is similar to the destination hardware platform processor.
Node.js employs JIT compilation which improves the speed of code execution to a great extent. It takes the source code and converts it into machine code in runtime. Through this, functions that are called regularly are compiled to machine code, increasing the overall speed of code execution.
Question: Why is the buffer class used in Node.js?
Answer: In Node.js, the buffer class stores the raw data, in a manner similar to that of an array of integers. However, it communicates to a raw memory dump, allocated outside the V8 heap. The Buffer class is a global class and can be accessed in an application without having to import the buffer module. It is majorly used as pure JavaScript code is not attuned with binary data.
Question: What is the difference between fork () and spawn () methods in Node.js?
Answer: In Node.js, spawn () launches a new process with the available set of commands. This doesn’t generate a new V8 instance only a single copy of the node module is active on the processor. This method can be used when your child process returns a large amount of data to the node.
On the other hand, fork () is a particular case of spawn () which generates a new V8 engines instance. Through this method, multiple workers run on a single node code base for multiple tasks.
Question: State the steps to write an Express JS application.
Answer: To set up an ExpressJs application, you need to follow the following steps:
Create a folder with the project name
Create a file named package.json inside the folder
Run the ‘npm install’ command on the command prompt to install the libraries present in the package file\
Create a file named server.js
Create the ‘router’ file inside the package consisting of a folder named as index.js
The application is created inside the package containing the index.html file
With this, we come to an end of the top Node.js interview questions. Do you think we missed an important question or have any doubts that need to be cleared? Let us know in the comments below. You can also check our best Node.js tutorials, curated by community members.
Follow this udemy course and start brushing up your node.js skills: The Complete Node.js Developer Course (3rd Edition).
Follow this top-notch programming book to crack any programming interview: Cracking the Coding Interview: 189 Programming Questions and Solution.
People are also reading:
Difference between NodeJS vs AngularJS
PHP vs NodeJS: Differences you need to know
How to Make a Chrome Extension
Most Frequently Asked Docker Interview Questions

Most Frequently Asked DevOps Interview Questions
Top Bootstrap Interview Questions and Answers
Top Android Interview Questions and Answers
Top Java Interview Questions and Answers
Jquery Interview Questions
Top Data Structure Interview Questions"
